'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost',DeathRate
'Simulation 1',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'Simulation 2',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'Simulation 3',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'Simulation 4',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'Simulation 5',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'AveragedSim',2,4,0,0,0,0,0,0,0,0,0,40000,0,40000,0
'Simulation 6',2,4,0,0,0.05,544,542,0,0,0,2,40000,0,40000,0
'Simulation 7',2,4,0,0,0.05,493,491,0,0,0,2,40000,0,40000,0
'Simulation 8',2,4,0,0,0.05,518,518,0,0,0,0,40000,0,40000,0
'Simulation 9',2,4,0,0,0.05,522,522,0,0,0,0,40000,0,40000,0
'Simulation 10',2,4,0,0,0.05,513,513,0,0,0,0,40000,0,40000,0
'AveragedSim',2,4,0,0,0.05,518,517.2,0,0,0,0.8,40000,0,40000,0
'Simulation 11',2,4,0,0,0.1,1010,996,0,0,8,6,40000,0,40000,0.007920792
'Simulation 12',2,4,0,0,0.1,1017,1012,0,0,0,5,40000,0,40000,0
'Simulation 13',2,4,0,0,0.1,951,943,0,0,2,6,40000,0,40000,0.002103049
'Simulation 14',2,4,0,0,0.1,1048,1042,0,0,1,5,40000,0,40000,0.000954198
'Simulation 15',2,4,0,0,0.1,1069,1064,0,0,1,4,40000,0,40000,0.000935454
'AveragedSim',2,4,0,0,0.1,1019,1011.4,0,0,2.4,5.2,40000,0,40000,0.00235525
'Simulation 16',2,4,0,0,0.15,1514,1310,0,0,189,15,40000,0,40000,0.124834875
'Simulation 17',2,4,0,0,0.15,1517,1223,0,0,284,10,40000,0,40000,0.187211602
'Simulation 18',2,4,0,0,0.15,1461,1205,0,0,254,2,40000,0,40000,0.173853525
'Simulation 19',2,4,0,0,0.15,1448,1185,0,0,254,9,40000,0,40000,0.175414365
'Simulation 20',2,4,0,0,0.15,1478,1281,0,0,182,15,40000,0,40000,0.123139378
'AveragedSim',2,4,0,0,0.15,1483.6,1240.8,0,0,232.6,10.2,40000,0,40000,0.156780803
'Simulation 21',2,4,0,0,0.2,1943,938,0,0,993,12,40000,0,40000,0.511065363
'Simulation 22',2,4,0,0,0.2,1974,947,0,0,1002,25,40000,0,40000,0.507598784
'Simulation 23',2,4,0,0,0.2,2010,827,0,0,1159,24,40000,0,40000,0.576616915
'Simulation 24',2,4,0,0,0.2,2034,955,0,0,1058,21,40000,0,40000,0.520157325
'Simulation 25',2,4,0,0,0.2,1962,937,0,0,1000,25,40000,0,40000,0.509683996
'AveragedSim',2,4,0,0,0.2,1984.6,920.8,0,0,1042.4,21.4,40000,0,40000,0.525244382
'Simulation 26',2,4,0,0,0.25,2523,709,0,0,1786,28,40000,0,40000,0.707887436
'Simulation 27',2,4,0,0,0.25,2432,757,0,0,1655,20,40000,0,40000,0.680509868
'Simulation 28',2,4,0,0,0.25,2495,755,0,0,1713,27,40000,0,40000,0.686573146
'Simulation 29',2,4,0,0,0.25,2498,765,0,0,1708,25,40000,0,40000,0.683746998
'Simulation 30',2,4,0,0,0.25,2494,646,0,0,1823,25,40000,0,40000,0.73095429
'AveragedSim',2,4,0,0,0.25,2488.4,726.4,0,0,1737,25,40000,0,40000,0.6980389
'Simulation 31',2,4,0,0,0.3,3056,551,0,0,2465,40,40000,0,40000,0.806609948
'Simulation 32',2,4,0,0,0.3,2983,537,0,0,2411,35,40000,0,40000,0.808246731
'Simulation 33',2,4,0,0,0.3,2986,563,0,0,2387,36,40000,0,40000,0.799397187
'Simulation 34',2,4,0,0,0.3,3053,639,0,0,2375,39,40000,0,40000,0.777923354
'Simulation 35',2,4,0,0,0.3,2900,624,0,0,2237,39,40000,0,40000,0.77137931
'AveragedSim',2,4,0,0,0.3,2995.6,582.8,0,0,2375,37.8,40000,0,40000,0.792829483
'Simulation 36',2,4,0,0,0.35,3456,512,0,0,2905,39,40000,0,40000,0.84056713
'Simulation 37',2,4,0,0,0.35,3488,461,0,0,2982,45,40000,0,40000,0.854931193
'Simulation 38',2,4,0,0,0.35,3537,561,0,0,2939,37,40000,0,40000,0.830930167
'Simulation 39',2,4,0,0,0.35,3509,502,0,0,2978,29,40000,0,40000,0.848674836
'Simulation 40',2,4,0,0,0.35,3547,609,0,0,2905,33,40000,0,40000,0.819001973
'AveragedSim',2,4,0,0,0.35,3507.4,529,0,0,2941.8,36.6,40000,0,40000,0.838740948
'Simulation 41',2,4,0,0,0.4,4035,446,0,0,3543,46,40000,0,40000,0.878066914
'Simulation 42',2,4,0,0,0.4,4077,410,0,0,3629,38,40000,0,40000,0.890115281
'Simulation 43',2,4,0,0,0.4,4004,451,0,0,3510,43,40000,0,40000,0.876623377
'Simulation 44',2,4,0,0,0.4,3968,442,0,0,3485,41,40000,0,40000,0.87827621
'Simulation 45',2,4,0,0,0.4,4039,480,0,0,3512,47,40000,0,40000,0.869522159
'AveragedSim',2,4,0,0,0.4,4024.6,445.8,0,0,3535.8,43,40000,0,40000,0.878546936
'Simulation 46',2,4,0,0,0.45,4495,441,0,0,3997,57,40000,0,40000,0.889210234
'Simulation 47',2,4,0,0,0.45,4422,440,0,0,3930,52,40000,0,40000,0.888738128
'Simulation 48',2,4,0,0,0.45,4562,390,0,0,4134,38,40000,0,40000,0.906181499
'Simulation 49',2,4,0,0,0.45,4508,442,0,0,4013,53,40000,0,40000,0.890195209
'Simulation 50',2,4,0,0,0.45,4447,406,0,0,3992,49,40000,0,40000,0.897683832
'AveragedSim',2,4,0,0,0.45,4486.8,423.8,0,0,4013.2,49.8,40000,0,40000,0.89444593
'Simulation 51',2,4,0,0,0.5,4983,358,0,0,4578,47,40000,0,40000,0.91872366
'Simulation 52',2,4,0,0,0.5,4912,422,0,0,4435,55,40000,0,40000,0.902890879
