Simulation,Policy,nPublic,nPrivate,nCar,PatientProb,nPatient,nPublicSaved,nPrivateSaved,nCarSaved,nTotalSaved,Dead,Alive,PublicCost,PrivateCost,TotalCost,DeathRate
Simulation 28,1,4,1,10,0.5,2527,447,108,1428,1983,509,35,20000,10450,30450,0.201424614
Simulation 29,1,4,1,10,0.5,2444,457,108,1443,2008,408,28,20000,9500,29500,0.166939444
Simulation 30,1,4,1,10,0.5,2530,424,100,1427,1951,541,38,20000,10550,30550,0.213833992
AveragedSim,1,4,1,10,0.5,2500.333333,442.6666667,105.3333333,1432.666667,1980.666667,486,33.66666667,20000,10166.66667,30166.66667,0.194374083
Simulation 31,1,4,1,10,0.55,2784,307,75,1509,1891,851,42,20000,12500,32500,0.305675287
Simulation 32,1,4,1,10,0.55,2787,303,69,1492,1864,882,41,20000,12350,32350,0.316469322
Simulation 33,1,4,1,10,0.55,2756,388,90,1522,2000,721,35,20000,12200,32200,0.26161103
AveragedSim,1,4,1,10,0.55,2775.666667,332.6666667,78,1507.666667,1918.333333,818,39.33333333,20000,12350,32350,0.294703975
Simulation 34,1,4,1,10,0.6,2946,330,74,1670,2074,834,38,20000,12250,32250,0.283095723
Simulation 35,1,4,1,10,0.6,2997,311,63,1622,1996,960,41,20000,13800,33800,0.32032032
Simulation 36,1,4,1,10,0.6,3040,322,69,1668,2059,932,49,20000,13300,33300,0.306578947
AveragedSim,1,4,1,10,0.6,2994.333333,321,68.66666667,1653.333333,2043,908.6666667,42.66666667,20000,13116.66667,33116.66667,0.303462095
Simulation 37,1,4,1,10,0.65,3227,265,65,1780,2110,1080,37,20000,13750,33750,0.33467617
Simulation 38,1,4,1,10,0.65,3329,253,62,1776,2091,1195,43,20000,14800,34800,0.358966657
Simulation 39,1,4,1,10,0.65,3296,268,57,1692,2017,1237,42,20000,15400,35400,0.375303398
AveragedSim,1,4,1,10,0.65,3284,262,61.33333333,1749.333333,2072.666667,1170.666667,40.66666667,20000,14650,34650,0.356475842
Simulation 40,1,4,1,10,0.7,3461,248,64,1817,2129,1283,49,20000,15750,35750,0.370702109
Simulation 41,1,4,1,10,0.7,3464,268,65,1830,2163,1250,51,20000,15750,35750,0.360854503
Simulation 42,1,4,1,10,0.7,3502,253,52,1815,2120,1331,51,20000,16150,36150,0.380068532
AveragedSim,1,4,1,10,0.7,3475.666667,256.3333333,60.33333333,1820.666667,2137.333333,1288,50.33333333,20000,15883.33333,35883.33333,0.370576388
Simulation 43,1,4,1,10,0.75,3800,225,51,1901,2177,1570,53,20000,17600,37600,0.413157895
Simulation 44,1,4,1,10,0.75,3744,249,68,1971,2288,1409,47,20000,16900,36900,0.37633547
Simulation 45,1,4,1,10,0.75,3733,229,42,1900,2171,1499,63,20000,17200,37200,0.40155371
AveragedSim,1,4,1,10,0.75,3759,234.3333333,53.66666667,1924,2212,1492.666667,54.33333333,20000,17233.33333,37233.33333,0.397091425
Simulation 46,1,4,1,10,0.8,3963,201,43,1960,2204,1696,63,20000,19050,39050,0.427958617
Simulation 47,1,4,1,10,0.8,4026,202,48,1959,2209,1754,63,20000,19550,39550,0.435668157
Simulation 48,1,4,1,10,0.8,3966,171,43,1888,2102,1801,63,20000,19450,39450,0.454109934
AveragedSim,1,4,1,10,0.8,3985,191.3333333,44.66666667,1935.666667,2171.666667,1750.333333,63,20000,19350,39350,0.439230448
Simulation 49,1,4,1,10,0.85,4295,154,29,2038,2221,2008,66,20000,19800,39800,0.467520373
Simulation 50,1,4,1,10,0.85,4254,178,52,2055,2285,1913,56,20000,20050,40050,0.449694405
Simulation 51,1,4,1,10,0.85,4235,227,45,2138,2410,1761,64,20000,20000,40000,0.415820543
AveragedSim,1,4,1,10,0.85,4261.333333,186.3333333,42,2077,2305.333333,1894,62,20000,19950,39950,0.444461827
Simulation 52,1,4,1,10,0.9,4525,181,45,2110,2336,2114,75,20000,21950,41950,0.46718232
Simulation 53,1,4,1,10,0.9,4510,161,44,2055,2260,2186,64,20000,22550,42550,0.484700665
Simulation 54,1,4,1,10,0.9,4509,164,44,2201,2409,2032,68,20000,21150,41150,0.450654247
AveragedSim,1,4,1,10,0.9,4514.666667,168.6666667,44.33333333,2122,2335,2110.666667,69,20000,21883.33333,41883.33333,0.46751329
Simulation 55,1,4,1,10,0.95,4726,145,41,2136,2322,2333,71,20000,22850,42850,0.493652137
Simulation 56,1,4,1,10,0.95,4728,168,37,2315,2520,2147,61,20000,21300,41300,0.454103215
Simulation 57,1,4,1,10,0.95,4763,150,34,2254,2438,2253,72,20000,22550,42550,0.473021205
AveragedSim,1,4,1,10,0.95,4739,154.3333333,37.33333333,2235,2426.666667,2244.333333,68,20000,22233.33333,42233.33333,0.473587958
Simulation 58,1,4,1,10,1,5000,144,36,2122,2302,2619,79,20000,24800,44800,0.5238
Simulation 59,1,4,1,10,1,5000,157,29,2289,2475,2442,83,20000,22700,42700,0.4884
Simulation 60,1,4,1,10,1,5000,165,40,2448,2653,2268,79,20000,22300,42300,0.4536
AveragedSim,1,4,1,10,1,5000,155.3333333,35,2286.333333,2476.666667,2443,80.33333333,20000,23266.66667,43266.66667,0.4886
